"hack_threads","grow_threads","total_threads","money_per_thread"
"1","2","4","30441098437111308"
"2","4","7","34789826785270068"
"3","5","9","40588131249481750"
"4","7","12","40588131249481740"
"5","9","15","40588131249481750"
"6","10","18","40588131249481750"
"7","12","21","40588131249481750"
"8","13","23","42352832608154870"
"9","15","26","42149213220615670"
"10","17","29","41987721982222504"
"11","18","31","43206720362351540"
"12","20","35","41747792142324080"
"13","22","38","41656239966573380"
"14","23","40","42617537811955840"
"15","25","43","42475951307597180"
"16","27","46","42352832608154870"
"17","28","48","43124889452574360"
"18","30","52","42149213220615670"
"19","32","55","42064063294917450"
"20","34","58","41987721982222504"
"21","35","60","42617537811955840"
"22","37","63","42520899404218980"
"23","39","67","41799717256928970"
"24","40","69","42352832608154870"
"25","42","72","42279303384876824"
"26","44","75","42211656499461016"
"27","46","78","42149213220615660"
"28","47","80","42617537811955840"
"29","49","84","42037707365534670"
"30","51","87","41987721982222500"
"31","53","90","41941068957797810"
"32","55","93","41897425805916650"
"33","56","95","42297105196828350"
"34","58","98","42244789667827944"
"35","60","102","41781899815642980"
"36","62","105","41747792142324090"
"37","64","108","41715579339745130"
"38","66","111","41685107769738020"
"39","67","113","42024879258312960"
"40","69","117","41628852563571030"
"41","71","120","41602834530718790"
"42","73","123","41578085670200820"
"43","75","126","41554515326850370"
"44","77","129","41532041278539464"
"45","79","133","41198479087819820"
"46","81","136","41185015532562370"
"47","83","139","41172133137963500"
"48","84","141","41451708510109020"
"49","86","144","41433717317179290"
"50","88","148","41136619509609880"
"51","90","151","41125722391858990"
"52","92","154","41115249837137360"
"53","94","157","41105177507436930"
"54","96","160","41095482890100270"
"55","98","164","40835619854661510"
"56","100","167","40831173951574460"
"57","102","170","40826884962713990"
"58","104","173","40822744724912280"
"59","106","176","40818745631581080"
"60","108","180","40588131249481750"
"61","110","183","40588131249481740"
"62","112","186","40588131249481750"
"63","115","190","40374509506063420"
"64","117","193","40377830051297900"
"65","119","197","40176069003294120"
"66","121","200","40182249936986936"
"67","123","203","40188248182984390"
"68","125","206","40194071722787750"
"69","127","209","40199728079630260"
"70","129","213","40016467429066510"
"71","131","216","40024407204350056"
"72","134","220","39850165226763900"
"73","136","223","39860093020791496"
"74","138","226","39869757245066136"
"75","140","230","39705780570145190"
"76","142","233","39717141308505750"
"77","145","237","39560583622912590"
"78","147","240","39573427968244700"
"79","149","244","39423717648062184"
"80","151","247","39437860323383080"
"81","154","251","39294485631968390"
"82","156","254","39309764910915390"
"83","158","257","39324687475178810"
"84","160","261","39188540516741000"
"85","163","265","39056503655161680"
